timestamp,temperature_c,humidity_perc,pressure_hpa,rainfall_mm,status
2025-11-15T21:18:14.311732,27.5,80.7,1015.79,102.3,Dry
2025-11-15T21:18:19.330309,27.5,80.7,1015.77,102.2,Dry
2025-11-15T21:18:24.348809,27.5,80.7,1015.75,102.1,Dry
2025-11-15T21:18:29.367582,27.5,80.7,1015.75,102.0,Dry
2025-11-15T21:18:34.386004,27.5,80.7,1015.79,102.3,Dry
2025-11-15T21:18:39.403670,27.5,80.7,1015.76,102.3,Dry
2025-11-15T21:18:44.422192,27.5,80.7,1015.76,102.3,Dry
2025-11-15T21:18:49.440724,27.5,80.8,1015.79,102.1,Dry
2025-11-15T21:18:54.459289,27.5,80.8,1015.79,102.1,Dry
2025-11-15T21:18:59.478034,27.5,80.7,1015.79,102.1,Dry
2025-11-15T21:19:04.495673,27.5,80.8,1015.79,102.3,Dry
2025-11-15T21:19:09.514082,27.5,80.7,1015.8,102.3,Dry
2025-11-15T21:19:14.532783,27.5,80.8,1015.81,102.3,Dry
2025-11-15T21:19:19.551382,27.5,80.8,1015.8,102.2,Dry
2025-11-15T21:19:24.570036,27.5,80.8,1015.8,102.3,Dry
2025-11-15T21:19:29.587617,27.5,80.8,1015.78,102.3,Dry
2025-11-15T21:19:34.606186,27.5,80.7,1015.81,102.2,Dry
2025-11-15T21:26:21.458922,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:26:26.477507,27.6,80.9,1015.82,102.1,Dry
2025-11-15T21:26:31.496158,27.6,80.9,1015.82,102.1,Dry
2025-11-15T21:26:36.514871,27.6,80.9,1015.83,102.1,Dry
2025-11-15T21:26:41.533642,27.6,80.9,1015.85,102.2,Dry
2025-11-15T21:26:46.551290,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:26:51.570042,27.6,80.9,1015.86,102.1,Dry
2025-11-15T21:26:56.588952,27.6,80.9,1015.81,102.2,Dry
2025-11-15T21:27:01.607444,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:27:06.626034,27.6,80.9,1015.85,102.1,Dry
2025-11-15T21:27:11.643798,27.6,81.0,1015.8,102.2,Dry
2025-11-15T21:27:16.662613,27.6,80.9,1015.83,102.2,Dry
2025-11-15T21:27:21.681232,27.6,80.9,1015.81,102.3,Dry
2025-11-15T21:27:26.700027,27.6,80.9,1015.81,102.3,Dry
2025-11-15T21:27:31.718694,27.6,80.9,1015.84,102.0,Dry
2025-11-15T21:27:36.736435,27.6,80.9,1015.79,102.0,Dry
2025-11-15T21:27:41.755141,27.6,80.9,1015.8,102.3,Dry
2025-11-15T21:27:46.773681,27.6,81.0,1015.83,102.3,Dry
2025-11-15T21:27:51.792500,27.6,80.9,1015.81,102.0,Dry
2025-11-15T21:27:56.811278,27.6,80.9,1015.81,102.1,Dry
2025-11-15T21:28:01.829980,27.6,80.9,1015.82,102.3,Dry
2025-11-15T21:28:06.847714,27.6,80.9,1015.82,102.1,Dry
2025-11-15T21:28:11.866394,27.6,80.9,1015.81,102.3,Dry
2025-11-15T21:28:16.885235,27.6,80.9,1015.81,102.2,Dry
2025-11-15T21:28:21.903815,27.6,81.0,1015.8,102.1,Dry
2025-11-15T21:28:26.922532,27.6,80.9,1015.82,102.3,Dry
2025-11-15T21:28:31.940338,27.6,81.1,1015.82,102.2,Dry
2025-11-15T21:28:36.959056,27.6,81.3,1015.85,102.2,Dry
2025-11-15T21:28:41.977739,27.6,81.1,1015.83,102.3,Dry
2025-11-15T21:28:46.996439,27.6,81.0,1015.82,102.2,Dry
2025-11-15T21:28:52.015090,27.6,81.0,1015.84,102.1,Dry
2025-11-15T21:28:57.032891,27.6,81.0,1015.84,102.2,Dry
2025-11-15T21:29:02.051667,27.6,81.0,1015.83,102.3,Dry
2025-11-15T21:29:07.070208,27.6,81.0,1015.81,102.3,Dry
2025-11-15T21:29:12.089105,27.6,80.9,1015.84,102.3,Dry
2025-11-15T21:29:17.107678,27.6,81.0,1015.83,102.1,Dry
2025-11-15T21:29:22.126441,27.6,81.0,1015.83,102.3,Dry
2025-11-15T21:29:27.144248,27.6,80.9,1015.82,102.2,Dry
2025-11-15T21:29:32.163094,27.6,80.9,1015.82,102.3,Dry
2025-11-15T21:29:37.181655,27.6,80.9,1015.83,102.2,Dry
2025-11-15T21:29:42.200243,27.6,81.0,1015.85,102.1,Dry
2025-11-15T21:29:47.219084,27.6,80.9,1015.85,102.3,Dry
2025-11-15T21:29:52.236966,27.6,80.9,1015.83,102.3,Dry
2025-11-15T21:29:57.255593,27.6,80.9,1015.82,102.2,Dry
2025-11-15T21:30:02.274301,27.6,80.9,1015.81,102.0,Dry
2025-11-15T21:30:07.293050,27.6,80.9,1015.81,102.3,Dry
2025-11-15T21:30:12.311772,27.6,80.9,1015.82,102.3,Dry
2025-11-15T21:30:17.329516,27.6,80.9,1015.84,102.3,Dry
2025-11-15T21:30:22.348193,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:30:27.366867,27.6,80.9,1015.83,102.3,Dry
2025-11-15T21:30:32.385922,27.6,80.9,1015.82,102.3,Dry
2025-11-15T21:30:37.404389,27.6,80.9,1015.86,102.3,Dry
2025-11-15T21:30:42.423161,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:30:47.440687,27.6,80.9,1015.84,102.2,Dry
2025-11-15T21:30:52.459523,27.6,80.9,1015.83,102.3,Dry
2025-11-15T21:30:57.478147,27.6,80.9,1015.86,102.3,Dry
2025-11-15T21:31:02.496920,27.6,80.9,1015.88,102.3,Dry
